"region","municipality","county","dummy_coast","hh_category","land_area","holiday_homes","future_hh_area","holiday_homes_1970","hh_dwelling_ratio","median_hh_price","prop_hh_area","prop_wetlands","prop_montainous","altitudinal_range","dist_to_coast","veg_sections","veg_zones","prop_protected","grazing_livestock","infrastructure_index","population","population_change","median_age","urban_settlement_ratio","prop_farm_residents","pop_2hr_drive","pop_4hr_drive","median_income","education","employment_rate","prop_private_sector","municipal_economy","unrestricted_revenues","off_road_motor","ski_lifts","hiker_cabins","activity_data","activity_pr_person","culture_index"
"3006","Kongsberg","Viken",0,3,754.42,2544,7.35109,1223,0.180106195,1310000,0.0028,0.0405,0.0238,851,30644.30859,0.080840722,1.759760261,0.136767318,2398,3.491806746,27879,24.35742161,42,0.85,6.2,1710028.082,2491647.991,459200,11.6,0.662666667,0.751,1.1,61576,10,6,7,79305.34982,2.844626773,194.5960056
"3038","Hole","Viken",0,3,134.64,1000,0.010795,1471,0.339097999,2e+06,0.0052,0.0113,0.0027,497,22175.7168,0.909840047,2.013268948,0.107760861,282,5.098506927,6859,36.60839863,43,0.65,10.7,2138339.279,2451960.326,481400,12.9,0.696,0.6682,4.5,65420,9,0,5,32282.2959,4.706560126,82.52568603
"3039","Flå","Viken",0,3,670.82,2410,11.597039,343,3.389592124,1600000,0.0037,0.0641,0.0094,1322,81329.03906,0.720759571,0.189602479,0.171393213,1211,2.010884285,1057,-4.718693285,47,0,25.5,495505.7413,2318118.656,418100,4.9,0.705,0.7358,4,88637,21,0,3,7131.620039,6.747038826,49.53619891
"3040","Nesbyen","Viken",0,3,771.53,3751,8.498979,1088,1.9495842,2600000,0.0045,0.0919,0.0039,1172,99297.19531,1.397146583,-0.366673291,0.031559847,9263,2.426410437,3273,-7.227891156,49,0.65,23.8,33528.55333,2153039.317,418600,4.9,0.689666667,0.6691,-1.1,74261,5,7,0,13896.25356,4.245723666,143.8032212
"3041","Gol","Viken",0,3,514.07,2667,4.468795,856,0.949448202,2355000,0.0057,0.1115,0.0027,1103,88223.17188,1.441983938,-0.296114236,0.031143619,4471,3.092700243,4667,4.965831435,45,0.63,20.9,33973.40689,1969406.811,426700,5.1,0.726666667,0.7403,2.4,68659,7,5,1,12644.62991,2.709370025,132.562624
"3042","Hemsedal","Viken",0,3,711.76,2265,2.609951,999,1.617857143,4250000,0.0031,0.0425,0.1708,1355,54381.77734,0.503420353,-1.840178609,0.04831617,5111,1.78156209,2611,26.96629213,40,0.59,26.9,28383.73412,1962371.294,445600,8.7,0.748333333,0.7173,8.1,69737,18,22,1,17438.4096,6.678824051,154.6529899
"3043","Ål","Viken",0,3,1081.48,3073,10.118697,908,1.199453552,1400000,0.0026,0.0875,0.1302,1525,64756.52344,1.022116423,-1.389626265,0.091772386,20585,2.088265896,4650,-2.401336396,46,0.59,27.9,18059.22434,1782578.62,440700,5.6,0.712,0.6238,0.4,70706,69.2637362637363,10,0,11987.25335,2.577903947,303.7510587
"3044","Hol","Viken",0,3,1653.33,5832,17.772791,2325,2.090322581,3200000,0.0038,0.0455,0.0835,1484,49420.92578,0.823541045,-1.821730733,0.296018968,12556,1.501392841,4504,-4.330030159,46,0.64,15.8,22227.1797,2061084.794,433900,5.8,0.718333333,0.7098,1,68572,60,0,4,42741.63772,9.489706421,162.5609417
"3045","Sigdal","Viken",0,3,811.29,5050,26.983523,1341,2.495059289,1850000,0.0054,0.0494,0.002,1384,58968.82813,0.578024268,0.831620693,0.116508922,3851,3.015643597,3492,-2.502812148,48,0.14,35,584952.2198,2313632.088,417900,3.7,0.714333333,0.7527,3.6,70748,19,5,3,16294.64919,4.666279838,101.2472366
"3046","Krødsherad","Viken",0,3,339.76,1763,0.972357,538,1.469166667,3525000,0.0042,0.0301,0.0015,1323,57041.28125,0.672414243,1.403029323,0.04285504,1703,3.177767754,2189,-1.863354037,45,0.42,22,1347814.845,2362416.015,425700,4.9,0.677,0.7877,8.4,79483,0,11,0,8709.528353,3.978770376,125.5238681
"3050","Flesberg","Viken",0,3,537.78,3605,13.885255,1265,2.54770318,1850000,0.0058,0.0398,0.0028,1100,39564.75391,0.556949079,1.415619493,0.007586746,658,3.644915104,2720,7.908470494,44,0.35,30.6,1304428.153,2348373.052,437800,4,0.703666667,0.6456,-3.2,72808,13,4,0,9674.788153,3.556907409,47.72338776
"3051","Rollag","Viken",0,3,429.8,2421,11.159153,357,2.865088757,1500000,0.0047,0.0602,0.0056,1104,60645.75781,0.609326959,0.494589537,0.14957772,3156,2.856889725,1370,-6.836461126,48,0.26,41.6,229781.6344,2197225.294,406800,5.4,0.717666667,0.6331,5.6,88187,16,1,1,5809.17501,4.24027373,92.08762605
"3052","Nore og Uvdal","Viken",0,3,2265.78,4095,12.98327,1215,2.645348837,1650000,0.0015,0.07,0.0021,1187,72293.64844,1.374728799,-1.300297379,0.392993172,9569,1.270202398,2455,-11.75832127,49,0.2,39.7,43778.35455,2090743.813,420500,4.5,0.738,0.6406,1.3,78463,66,3,9,9949.553419,4.05277125,89.47548715
