"region","municipality","county","dummy_coast","land_area","holiday_homes","future_hh_area","holiday_homes_1970","hh_dwelling_ratio","median_hh_price","prop_hh_area","prop_wetlands","prop_montainous","altitudinal_range","dist_to_coast","veg_sections","veg_zones","prop_protected","grazing_livestock","infrastructure_index","population","population_change","median_age","urban_settlement_ratio","prop_farm_residents","pop_2hr_drive","pop_4hr_drive","median_income","education","employment_rate","prop_private_sector","municipal_economy","unrestricted_revenues","off_road_motor","ski_lifts","hiker_cabins","activity_data","activity_pr_person","culture_index"
"3438","Sør-Fron","Innlandet",0,-0.630165925825347,1924,2.142759,0.583308643301088,-0.00776100215054762,-0.299350337514671,0.748267572237886,0.24214944408241,-0.671156673130752,-0.0189471475265074,1.17830637801871,0.92136191951792,-0.34098507766298,0.668070134872431,1.45742317395176,0.527313801994994,-0.270634341627281,-0.185341805011709,0.318677277343123,-0.222416784777453,0.52299939507855,-0.204076490113726,0.631848835733486,-0.450746328675482,-0.664154762230098,-0.765519015133791,-0.320416878503874,-0.657446947404521,-0.689463797628982,-0.451266763348548,1.20439308534101,-0.332781897157179,-0.333242073281697,-0.298946656322041,0.0924207004783317
"3439","Ringebu","Innlandet",0,-0.181093580341414,4369,3.028441,0.819858036003782,0.579837218677783,1.22152857309662,1.22265943176125,0.908981114412034,-0.560185794349278,-0.408799061784036,1.84619386471197,0.874285287190708,-0.300645370839807,-0.862990470855227,1.93108266581311,0.343365129885741,-0.0369012835139882,-0.327465328300915,0.318677277343123,0.22058995286963,0.162694414094038,-0.0772173271462129,0.779389886606767,-0.887891502594498,-0.715693171779153,-0.576092116118852,1.58740317764629,-0.54541821855386,-0.709901096833898,-0.393285435477432,-0.655357163658783,0.287984334078328,0.176883344205469,0.325203675544167,-0.500345737814658
"3440","Øyer","Innlandet",0,-0.713914421029469,3542,5.217953,-0.303285930923184,0.277595015538677,2.34697896694898,1.9342472210463,2.6540016543006,-0.790746649293311,-0.772130437656699,1.98398391863452,0.55846256348832,0.248723252849475,-1.08925269398464,-0.0729979097919611,1.03373955970094,0.0864234261793992,0.888664705597941,-0.594968906960805,0.752198038046131,-0.638984168596502,-0.00837459632653255,0.977896717678767,0.206940554608081,0.211998200103847,-0.341563565460982,0.911151307807811,-0.265346396427209,-0.723961344031265,-0.371542437525763,2.38787051652269,-0.332781897157179,0.582707807494074,0.743105663951534,-1.16613294250424
"3441","Gausdal","Innlandet",0,-0.247082849045956,3100,5.1465,-0.200843280540128,-0.227780184489806,0.388086930081634,0.333174695154941,1.55199736794417,-0.783204939084862,-0.0852484934886722,1.22595018652998,0.751089314526067,0.106292052590809,0.909084576577552,1.87718566874723,0.612425341452773,0.262829072613126,0.282025971481,0.318677277343123,0.131988605340214,0.0906334178971351,-0.0789018014403585,0.833717849521585,0.222693533848406,-0.509539533582931,0.488306640754281,0.469366327146905,-0.853497222893177,-1.06263658799844,-0.400533101461321,1.20439308534101,0.598367449696081,0.297886703639583,0.0132414808494719,-1.1572710268177
"3448","Nordre Land","Innlandet",0,-0.446107751975033,2672,5.006441,0.305782190445171,-0.45819395972024,-0.25068221237511,0.511071642476203,0.902486000739993,-0.779972777566955,-0.326585392790952,1.21049494767448,0.479402456919924,0.687153640376438,-0.798314148911391,0.552460889099655,1.42357964716093,0.350943427602088,-0.0350065758024255,0.318677277343123,0.0876879315755054,-0.50386980072731,0.0728951894528818,1.07664509862892,-1.27777773879254,-1.1280004481716,-1.13535249365948,0.543408502676666,-0.265346396427209,-0.788961175337125,-0.465762095316327,-0.31722075474973,-0.953548128392685,-0.0859122708869913,-0.567996875272219,-1.06911601748867
"3449","Sør-Aurdal","Innlandet",0,-0.315952706572603,3567,13.402006,1.56675808697843,0.797664759445052,-0.299350337514671,0.866865537118727,0.911146152302715,-0.749805936733156,-0.809259191395511,0.842067452235662,0.506787295495114,0.608595431499516,-0.404888715277872,-0.510895158894303,1.16240884889028,-0.301598221392478,-0.837747528273786,0.927774733545743,-0.931227565012787,1.17154836085067,-0.0546664665657001,1.19210347575275,-1.44712226562603,-0.664154762230098,-0.188217998584785,0.532302176347201,-0.0692961209385529,0.0935306241653706,-0.444019097364658,-0.655357163658783,-0.332781897157179,-0.478589671710711,-0.644014347085973,-0.311154569517109
"3450","Etnedal","Innlandet",0,-0.866955612486419,2506,3.418858,0.162362479908891,1.71214893324202,-0.573108541424704,2.2307421332484,1.058368728869,-0.765966744322691,-0.994902960089572,1.04345170288321,0.546585922016811,0.290388667275406,-1.0141025796515,-0.737896628889435,1.9938799684431,-0.590535453715723,-0.437314959444268,0.927774733545743,-1.10843026007162,0.658113762947742,-0.10154446238882,1.03762564751168,-1.45106051043611,-0.509539533582931,-0.197238318088975,-0.642500342058333,0.0427326079121076,1.03664283371553,-0.458514429332437,-0.486288959204256,-0.953548128392685,-0.542516948972932,-0.10627245185859,-1.2027572908457
"3451","Nord-Aurdal","Innlandet",0,-0.508969775933865,4806,5.669621,1.90761272370751,0.168173323006854,0.403599894969869,2.11214416836756,1.81180191482584,-0.778895390394319,-1.03733582150536,0.650204574078769,0.915926879876945,0.0360292782569542,-0.738739473822409,0.392545328393587,1.75635294662393,0.311486597958436,0.190094540895216,0.0141285492418138,0.574995342987298,-0.305702061185828,-0.300843387578982,0.960277291548022,-0.210513395260528,-0.200309076288598,0.280839102730958,0.497749161099981,-0.48940385412853,-0.751390350858915,-0.400533101461321,-0.655357163658783,-0.332781897157179,0.0990642860911082,-0.302152644928179,2.5341586454748
"3452","Vestre Slidre","Innlandet",0,-0.891251220961539,2740,5.829324,0.359797406101691,1.00008671826,-0.185284419218824,3.17952585229513,0.683817173781252,-0.667924511612845,-0.28150047753668,0.124564210288648,0.804667707581341,-0.102157293780576,-1.16519715320787,-0.528015381491701,2.13558535742277,-0.439254784005757,-0.259960365920644,0.318677277343123,-0.709724196189246,1.73002108137667,-0.439794272684656,0.686815823498382,0.0572872518249948,-0.0972322571904864,0.822058814202211,-0.435182250575003,-0.377375125277869,-0.2454519476094,-0.407780767445211,-0.31722075474973,-0.643165012774932,-0.224958718489265,0.606091316001114,-0.111155568593834
"3453","Øystre Slidre","Innlandet",0,-0.476922124145436,3605,9.816701,1.34324684977903,0.885112029023962,1.07856595549916,1.04476248443999,1.40693982926857,-0.549411922622921,0.516767727847784,0.304706259740944,0.679936221425668,-0.497685488963902,-0.0558049741751271,0.209168721905899,0.43028592321917,-0.237370287936668,0.943284265506464,-0.290420178859496,-0.532521501130412,0.513991770553937,-0.488969602666881,0.517743078940336,0.447173488023035,0.263536609652903,1.43544113582897,0.887704618890053,-0.265346396427209,-0.654735755371005,-0.357047105557984,0.866256676431955,-0.0223987815394255,0.387051481187292,1.44536622881469,-0.145061510831752
