"region","municipality","county","dummy_coast","holiday_homes","future_hh_area","median_hh_price","prop_hh_area","prop_wetlands","prop_montainous","altitudinal_range","dist_to_coast","veg_sections","veg_zones","prop_protected","infrastructure_index","population_change","median_age","urban_settlement_ratio","prop_farm_residents","median_income","education","employment_rate","prop_private_sector","municipal_economy","unrestricted_revenues","culture_index","ln_land_area","sqrt_future_hh_area","ln_holiday_homes","ln_holiday_homes_1970","ln_hh_dwelling_ratio","ln_grazing_livestock","ln_population","ln_pop_2hr_drive","ln_pop_4hr_drive","ln_off_road_motor","ln_ski_lifts","ln_hiker_cabins","ln_activity_data","ln_activity_pr_person"
"3427","Tynset","Innlandet",0,1859,6.821514,-1.02937221460809,-0.491682745557205,0.907729336147284,-0.957196001534131,-0.358410038852791,0.900278620986193,1.32588156608736,-0.75256629034751,0.431652054327159,-0.10214694015037,0.593610564800383,-0.899517635062115,0.361539525480799,0.308754622726328,0.317211409290355,0.983602759472879,0.923908089183668,-0.565604100730498,0.238782883400764,-0.640368180366045,1.04722513076748,0.712578015548498,0.232708877375349,0.272643804268536,0.6293506150417,-0.348163027024057,1.09250777395835,0.7058702767267,-0.238102574628271,-0.0189011117680863,0,0.556389034789974,-0.539142837912582,0.339209670831953,-0.281143558539989
"3428","Alvdal","Innlandet",0,752,4.979248,-1.05978979282032,-0.618102112821439,0.195222026239746,0.169597702071091,0.0738747368205232,1.37657175482046,1.36618567937187,-0.779737604993222,-1.67094158380193,-0.0271653582607087,0.467695731696212,-0.899517635062115,-0.202824305427507,0.737068180008078,0.939454089283188,-0.470473023942226,1.58022272171673,1.4594123278848,-0.209332032001879,-0.0995480709547558,-0.131552175027773,-0.367194204797715,-0.0826781538053052,-0.800108210935512,-0.147143941569282,-0.353723902993504,1.02767579158186,-0.275420680662446,-1.03857937501047,0.606918672361116,-0.451266763348548,-1.04548117744628,-0.539142837912582,-0.577147617786987,-0.589516900870647
"3429","Folldal","Innlandet",0,537,3.337895,0.491506696003202,-0.809443650525332,0.124097931768849,0.273699646491101,0.591025235325408,0.763311111941453,1.47287150998821,-1.30722659464416,0.894900194381048,-0.437473269052523,-1.03114108547412,1.53687218974836,-0.170704668538369,1.05858970570435,-0.880015012974335,-0.400317866163943,-0.237331661131209,-0.409247926079004,0.378818794464089,0.344386947112928,0.8146674990303,0.130752671307654,-0.418007756362251,-1.19923925936361,-0.311504263123952,-0.49153287748372,1.07999494430143,-0.832786821717283,-0.934578246516579,-0.323164383246565,-0.161360123992968,0.0479653521887664,-0.539142837912582,-0.305542764424156,0.480495103837457
"3430","Os","Innlandet",0,1146,9.928583,-0.26284924366,-0.428810543307134,1.10288135193627,-0.918963857600263,-1.15933029807574,1.09172006450177,1.09435582956372,-0.605163854874099,0.480277785236252,-0.140225718940105,-0.753245846881055,0.623226005444433,-0.0768259649441565,1.4633194055397,0.167558106507269,-0.847178281120783,1.23779141081555,-0.145404366209092,1.83519226952268,0.262868246148959,0.541810658248199,-0.223649602092904,0.679748425740495,-0.300751356534201,-0.271619491912108,0.260118728721471,0.494543520980495,-0.603769435385124,-1.43623942425418,-0.596159108235169,-0.407780767445211,0.556389034789974,-0.0196417125780211,-1.01991977635972,-0.906730722687447
"3431","Dovre","Innlandet",0,659,5.196956,-0.834699714049847,-0.873687645200425,-0.250048751439739,0.875755960987357,1.23282226423916,0.464418219823116,0.814382032171372,-1.3702079268691,2.02749466343914,-0.56086261775066,-0.606546711689053,1.23232346164705,0.218479498748578,0.209302729491386,-0.639782079559381,-0.198826731484555,-0.62589987403261,0.0444828179783735,0.574869069952745,-0.191285421521183,-0.240149842533637,0.238286295945835,-0.0426636403701462,-0.956581098333847,0.276148936142497,-0.597861869750383,0.64072832695219,-0.249922697680879,-0.498308811103982,0.670318948508729,-0.378790103509653,0.0479653521887664,0.348950201716637,0.22532707157636,0.642557304763465
"3432","Lesja","Innlandet",0,2164,3.263443,0.223832007735614,-0.618102112821439,-1.4748934630206,1.22962877088813,0.832362134627688,-0.23464694164924,0.641158136561666,-1.6457003739106,2.25470952834846,-0.94127595477537,-0.974211938876555,0.166402913292469,-2.42117751245074,1.54863911646624,-0.308969515512559,-0.00947539478428724,1.0309361967234,0.0961983329642929,0.294797247826094,0.277235821153919,-0.153607941114468,0.987200592167385,-0.434997174013616,0.452712013862716,0.174526522126644,0.965263521572707,1.15839719499518,-0.522636089270743,-0.406191139470564,-0.200602622211839,-0.458514429332437,0.891279153212047,-1.4272358775418,-0.399046288753702,-0.024322037343638
"3433","Skjåk","Innlandet",0,719,1.012589,0.126495757456491,-0.938166278047775,-2.86041932416,1.53155188796385,1.05513465706056,-0.554465516219729,-0.0221198779586075,-1.53496118474119,2.14096950112166,-1.05753565236374,-0.360978730360425,0.927774733545743,-0.336504251711131,0.699383870091137,-0.805188361582792,-0.69095853207343,0.115122947224608,0.665724439127459,0.714904981016071,-0.36239017839843,0.225474263236521,0.832656585206837,-1.0984935121871,-0.853297872082119,-0.459394345195121,-0.466766261640724,0.315533938999843,-0.427743392730952,-0.636400176211905,-0.820405161271439,-0.436771431380769,0.0479653521887664,1.23704324134586,-0.866938247163006,-0.869329502238821
"3434","Lom","Innlandet",0,271,0.302656,-1.06283155064154,-1.06783454911533,-1.84870475655865,1.44659508533858,1.81627410870621,-0.183435247477809,0.282630551375218,-2.07308366654805,1.52060248203586,-0.989761387533297,-0.873684622450699,0.623226005444433,-0.0159696256444374,0.718264798628253,-0.541325959307351,-0.071338574898121,0.271364409504935,0.385781131697804,0.266790065613429,-0.203578533824892,0.633411957667806,0.767624848375977,-1.47669018818894,-2.00983166502839,-0.846195474462907,-1.55375297433939,0.558684886425466,-0.39503216041639,-1.11148208223865,-0.3845044008054,-0.342551773590205,-0.355593227960076,0.634852302047198,0.903984810906966,1.87682548805049
"3435","Vågå","Innlandet",0,1072,2.712699,0.79568247812546,-0.618102112821439,-0.819034583268471,0.881019429049753,1.56698104788847,0.320463078487921,0.586480237537221,-1.21118778719635,0.4131573800678,-0.273797257848398,-0.222669920085512,0.0141285492418138,0.361539525480799,0.238039020243214,-0.730361710191249,-0.264561855998131,-0.147717746936944,0.399807853750428,1.13501271420605,-0.518820032463124,0.738078873433577,0.12031819870276,-0.567222015000181,-0.379871028905828,0.110379666799623,-0.429396348051689,0.970138078161833,0.181605447238371,-0.444518492153781,0.679460684112586,-0.393285435477432,0.334294721526131,-0.539142837912582,0.972020526797359,1.31849516458571
"3436","Nord-Fron","Innlandet",0,2515,4.017419,0.0687023588532619,0.783896767990344,0.320142656036604,0.0529068534987619,0.596329343002381,0.914638020483814,0.96730717676491,-0.373693299868677,0.0537525312620469,0.448566686396946,0.0326657552601889,0.623226005444433,0.651906932573252,-0.102844494088036,-0.990285867656609,-1.01173905216627,-0.808294685780775,0.425370683193653,0.994976803142723,-0.558618983546381,-0.185155476127589,-0.095549400246449,-0.270952610380318,0.630877591187982,0.776763629219456,-0.0751270480642804,1.05118465216372,0.715841247835684,-0.133278433353581,0.619761039767319,-0.13236946005741,-1.04548117744628,-0.0196417125780211,0.240037104028273,-0.448546828169521
