"land_area","holiday_homes_1970","hh_dwelling_ratio","median_hh_price","prop_hh_area","prop_wetlands","prop_montainous","altitudinal_range","dist_to_coast","veg_sections","veg_zones","prop_protected","grazing_livestock","infrastructure_index","population","population_change","median_age","urban_settlement_ratio","prop_farm_residents","pop_2hr_drive","pop_4hr_drive","median_income","education","employment_rate","prop_private_sector","municipal_economy","unrestricted_revenues","off_road_motor","ski_lifts","hiker_cabins","activity_data","activity_pr_person","culture_index"
-0.17,0.37,0.01,0.28,0.32,-0.14,-0.4,-0.21,0.29,0.18,0.33,-0.11,-0.13,0.36,0.19,0.26,-0.07,0.09,-0.01,0.58,1,0.05,0.14,-0.06,0.08,-0.1,-0.3,-0.21,0.08,0.12,0.27,0.24,-0.11
-0.14,0.16,-0.24,0.12,0.16,-0.13,-0.05,-0.09,-0.18,-0.15,0.17,-0.08,0.07,0.19,0.33,0.44,-0.5,0.35,-0.3,0.14,0.05,1,0.39,0.39,0.15,0.02,-0.3,-0.07,0.11,0.05,0.35,0.2,0
-0.08,0.29,-0.27,0.18,0.18,-0.18,-0.06,-0.1,-0.07,0.03,0.11,-0.06,-0.02,0.21,0.4,0.39,-0.36,0.45,-0.36,0.16,0.14,0.39,1,0.09,0.03,-0.05,-0.33,-0.06,0.1,0.13,0.48,0.3,0.24
0.08,0.01,0.11,0.08,-0.04,0.06,0.07,0.18,0.03,-0.12,-0.14,0.14,0.23,-0.12,-0.08,0.08,-0.2,-0.07,0.16,-0.12,-0.06,0.39,0.09,1,0.13,0.11,0.07,0.13,0.25,0.06,0.03,0.22,0.06
-0.18,0.09,-0.09,0.15,0.23,-0.07,-0.04,-0.1,-0.13,-0.07,0.12,-0.01,0.07,0.2,0.17,0.18,-0.18,0.12,-0.1,0.12,0.08,0.15,0.03,0.13,1,0.05,-0.18,-0.2,-0.02,-0.02,0.19,0.14,-0.07
0,-0.11,0.09,0.03,-0.01,0.01,0.02,-0.01,-0.08,-0.04,-0.05,0.05,0.06,-0.06,-0.13,-0.07,0.01,-0.12,0.06,-0.1,-0.1,0.02,-0.05,0.11,0.05,1,0.17,0,-0.03,-0.04,-0.12,-0.04,0.01
0.24,-0.36,0.45,-0.16,-0.32,0.09,0.31,0.27,0.04,-0.04,-0.36,0.19,0.01,-0.5,-0.7,-0.6,0.45,-0.51,0.42,-0.46,-0.3,-0.3,-0.33,0.07,-0.18,0.17,1,0.25,0.02,-0.06,-0.6,-0.13,0.07
0.56,0,0.27,-0.17,-0.36,0.22,0.21,0.45,0.27,0.02,-0.38,0.31,0.17,-0.51,-0.2,-0.25,0.15,-0.16,0.25,-0.29,-0.21,-0.07,-0.06,0.13,-0.2,0,0.25,1,0.21,0.19,-0.16,0.02,0.16
0.23,0.2,0.16,0.15,-0.04,0.01,0.08,0.33,0.25,0.05,-0.2,0.18,0.15,-0.17,0.01,-0.01,-0.01,0,0.13,-0.03,0.08,0.11,0.1,0.25,-0.02,-0.03,0.02,0.21,1,0.28,0.13,0.28,0.11
0.3,0.24,0.06,0.14,-0.07,-0.1,0.07,0.27,0.24,0.1,-0.19,0.27,0.17,-0.15,0.09,-0.02,0.07,0.04,0.05,0.05,0.12,0.05,0.13,0.06,-0.02,-0.04,-0.06,0.19,0.28,1,0.21,0.28,0.1
-0.1,0.49,-0.37,0.28,0.32,-0.15,-0.17,-0.12,-0.04,0.03,0.23,-0.08,0.09,0.39,0.72,0.52,-0.41,0.54,-0.41,0.36,0.27,0.35,0.48,0.03,0.19,-0.12,-0.6,-0.16,0.13,0.21,1,0.4,0.07
0.01,0.34,0.06,0.33,0.22,-0.12,0.02,0.17,0.15,0.05,-0.07,0.14,0.14,0.07,0.12,0.13,-0.08,0.13,-0.02,0.13,0.24,0.2,0.3,0.22,0.14,-0.04,-0.13,0.02,0.28,0.28,0.4,1,0.12
0.19,0.04,0,0.04,-0.11,0.04,0.17,0.17,0.02,0.01,-0.22,0.13,0.15,-0.16,0.01,-0.1,0.05,0.07,0,-0.2,-0.11,0,0.24,0.06,-0.07,0.01,0.07,0.16,0.11,0.1,0.07,0.12,1
