"land_area","holiday_homes_1970","hh_dwelling_ratio","median_hh_price","prop_hh_area","prop_wetlands","prop_montainous","altitudinal_range","dist_to_coast","veg_sections","veg_zones","prop_protected","grazing_livestock","infrastructure_index","population","population_change","median_age","urban_settlement_ratio","prop_farm_residents","pop_2hr_drive","pop_4hr_drive","median_income","education","employment_rate","prop_private_sector","municipal_economy","unrestricted_revenues","off_road_motor","ski_lifts","hiker_cabins","activity_data","activity_pr_person","culture_index"
-0.35,0.37,0.31,0.29,0.53,0.09,-0.3,-0.24,0.26,0.06,0.32,-0.25,-0.05,0.53,0.04,0.13,0.04,-0.05,0.03,0.31,1,0.04,0.08,-0.02,0.21,-0.01,-0.1,-0.19,0.15,-0.09,0.18,0.26,-0.12
-0.05,0.1,-0.1,0.12,0.06,-0.16,0.05,0.07,-0.27,-0.22,0.05,-0.02,0.07,0.02,0.21,0.37,-0.47,0.28,-0.25,0,0.04,1,0.38,0.38,0.12,-0.02,-0.22,0.01,0.15,0.26,0.29,0.19,0.09
0.03,0.07,-0.18,0.09,-0.01,-0.14,0.08,0.01,-0.1,-0.03,-0.04,-0.11,0.05,0.01,0.2,0.26,-0.39,0.29,-0.25,-0.08,0.08,0.38,1,0.19,0.01,0,-0.17,0.03,0.09,0.18,0.27,0.16,0.26
0.01,0.02,0.19,0.1,0.06,0.03,0.01,0.06,-0.09,-0.07,-0.1,0.16,0.17,-0.02,-0.08,0.13,-0.22,-0.06,0.2,-0.15,-0.02,0.38,0.19,1,0.17,0.14,0.02,0.05,0.2,0.13,0.08,0.24,0.08
-0.15,0.31,0.11,0.17,0.31,0,-0.03,0.07,0.06,0,0.09,0.07,0.16,0.24,0.22,0.21,-0.09,0.08,0,0.17,0.21,0.12,0.01,0.17,1,-0.05,-0.28,-0.16,0.19,0.12,0.26,0.16,-0.07
-0.07,-0.11,0.09,0.07,0,-0.02,-0.06,0.02,-0.01,-0.05,-0.01,0.04,0.04,-0.04,-0.22,-0.01,-0.07,-0.11,0.08,0.02,-0.01,-0.02,0,0.14,-0.05,1,0.22,-0.03,-0.01,0.07,-0.09,0.1,0.02
0.03,-0.4,0.26,-0.12,-0.25,-0.06,0.06,-0.05,-0.03,-0.08,-0.08,0.09,-0.28,-0.32,-0.73,-0.45,0.31,-0.45,0.33,-0.19,-0.1,-0.22,-0.17,0.02,-0.28,0.22,1,0.12,-0.2,-0.12,-0.55,-0.08,0
0.41,-0.04,0.06,-0.12,-0.21,0.11,0.01,0.05,0.01,-0.04,-0.16,0.2,-0.07,-0.3,-0.07,-0.13,0.06,-0.02,0.06,-0.18,-0.19,0.01,0.03,0.05,-0.16,-0.03,0.12,1,-0.01,0.14,-0.07,-0.03,0.18
0.02,0.23,0.11,0.34,0.2,0.04,-0.03,0.06,0.01,-0.04,0.01,0.03,0.15,0.11,0.18,0.13,-0.13,0.07,0,0.08,0.15,0.15,0.09,0.2,0.19,-0.01,-0.2,-0.01,1,0.08,0.31,0.25,0.02
0.21,0.11,-0.09,0.06,-0.06,-0.22,0.2,0.25,-0.23,-0.23,-0.1,0.29,0.17,-0.17,0.15,0.09,-0.1,0.12,-0.11,0.08,-0.09,0.26,0.18,0.13,0.12,0.07,-0.12,0.14,0.08,1,0.3,0.26,0.08
0.05,0.44,-0.12,0.3,0.28,-0.06,0.02,0.16,-0.01,-0.01,0.02,0,0.25,0.23,0.57,0.35,-0.31,0.42,-0.34,0.18,0.18,0.29,0.27,0.08,0.26,-0.09,-0.55,-0.07,0.31,0.3,1,0.47,0.05
-0.06,0.22,0.22,0.37,0.26,-0.04,0,0.15,0.05,-0.02,-0.05,0.12,0.1,0.12,0.04,0.13,-0.09,0.05,-0.02,0.13,0.26,0.19,0.16,0.24,0.16,0.1,-0.08,-0.03,0.25,0.26,0.47,1,0.02
0.16,-0.03,-0.1,0.03,-0.15,-0.04,0.14,0.08,0,0.05,-0.22,0.09,0.16,-0.15,0.03,-0.04,-0.07,0.1,-0.03,-0.27,-0.12,0.09,0.26,0.08,-0.07,0.02,0,0.18,0.02,0.08,0.05,0.02,1
