"terms","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36"
"coast",-0.0881436091409298,-0.195369011993819,0.300326326338938,-0.0798867772383014,0.168442544774751,-0.25963661134917,0.170612998513833,-0.0362363079763787,0.0351772632286379,-0.0335874310086383,0.0314134825446074,-0.0491033119113157,-0.116576755565405,0.00231555770276244,0.0328299934593529,0.0253046138116369,0.153141423859594,-0.256526174570218,-0.158553876506167,0.150390660688234,0.23226596380659,0.108481999157575,0.0167349417110616,-0.345172687454307,-0.105465390088463,-0.340889759178574,0.35683258790094,0.0438083488003648,0.110854506748635,0.2247897893681,-0.0969263479118575,-0.173126110176477,-0.16274478928979,0.0316980748928157,0.0418681093106928,0.00620651902801011
"land_area",0.197825135713874,0.200794621245393,0.116765004140422,0.214134573658249,-0.130937946915769,-0.118197127099361,0.0966706821582763,-0.0809989108046108,-0.0494135560261022,-0.220089122307927,0.013460323669156,0.099497580982224,0.164119402256256,0.0146386963766286,0.101227962238538,-0.0797596736473926,0.0785245765864039,-0.123799046300684,-0.273006205406555,-0.126351016621842,0.148118681957204,0.0151580050767105,0.140505635376304,0.286937544301326,0.17485016796459,-0.109643405074951,0.210047354246136,-0.0643999784340645,-0.0789967590782298,-0.165184761432727,0.0967324560633083,0.207399646153005,0.0476145727744831,0.413650985178417,0.350273872231656,-0.0160819302159773
"holiday_homes",-0.0276999523929675,0.336235922589813,-0.0796115350419811,-0.0727540489201354,0.10985079201694,-0.342982385680881,0.125886849437524,-0.104912607263813,-0.104053826883352,-0.127242435076235,-0.00766521771775078,-0.0204978721931348,0.0474482129650329,0.0230941004469731,0.00219350743810851,-0.00226490229889009,-0.0328892013913046,-0.165119373875371,-0.147650415733821,-0.231290811622103,-0.0395482060573427,0.0230263945216302,-0.141762939463977,-0.123286949533369,0.140662176012949,0.115759388461409,-0.134042336434966,-0.0703701227388027,-0.210852039478729,0.236117767817267,-0.0990794352831352,0.218857231868032,-0.0332151362374775,-0.537725650083243,0.205808024658124,-0.00496091533940751
"future_hh_area",0.13201732657891,0.225589971447045,-0.100776674196425,-0.109981964477843,-0.0813969942725717,-0.222942438687029,0.082246408904994,-0.15117867871063,-0.117934820549472,-0.0350853843828846,-0.429726471019473,0.111833023537473,-0.101205884224554,0.066160966121722,-0.215027129997153,-0.177620486406368,-0.444862974293437,0.0572291256031604,0.104777209768413,0.410300067654316,0.137907859835397,0.243480960869338,0.130842966441184,0.0930611099456394,-0.136728225402404,-0.0752228447519303,0.00800332575119117,0.0466828197291375,0.0409263719440983,-0.0449402829106678,0.0235803571867364,-0.0497839540280212,0.000109015718275126,-0.0155981669354743,-0.0236759531947915,0.00706096884606876
"holiday_homes_1970",-0.139783294556754,0.314028680933543,-0.0656937899286742,0.0241307779845202,0.107254437994147,-0.203475929945792,0.121944423186159,-0.100751860235444,-0.0422942351110891,-0.0745157944883394,0.0594955733381546,0.0538700836782597,0.0361774656744544,-0.0726859507944541,-0.132148497264244,0.06472138279016,0.125199364999595,-0.231633741771369,0.0814382348088626,-0.201052320565879,0.021729581342173,-0.140155671076095,-0.179086448997803,-0.0456097316918821,-0.33449892896437,0.143346152452387,-0.0676918714076374,0.0294182617022369,0.324029799683585,-0.391897471181834,0.111906275526454,-0.382810287910405,0.154339403569766,0.0813139912161589,0.000256272340140275,-0.0194713780757717
"hh_dwelling_ratio",0.215996617102396,0.149943858829705,-0.170850946272036,-0.240605946694563,0.126623217163328,-0.127830579756929,-0.0547046465701304,-0.173981858414927,-0.0742954277858554,0.00923037903691361,-0.0335961296084883,0.042327288455554,0.00699336454996014,0.0728711878263992,0.0560771155313154,0.07571635962345,-0.0812750940724428,0.0340975149695005,-0.0719743062349148,-0.0700498664755373,-0.0785733622557007,-0.119557632179712,-0.243688880149064,-0.292955473680581,0.17646813348704,0.140656097667715,0.0148063248702841,-0.134777391904797,0.038309869437835,0.220073309396424,-0.0388274123493871,0.105134726458079,-0.0758918702437134,0.545110512595745,-0.369792616642387,0.0207447099064151
"median_hh_price",-0.116169109031796,0.180341612361111,-0.0539630817173091,-0.235144539588071,0.2850328344829,-0.061758040433001,-0.0971472799903527,0.07989600409745,0.0835761742542115,-0.0575451012856834,0.0861370895756488,-0.149417134858688,0.152925896898323,0.244169026960253,0.702073472846879,-0.148358410701619,0.0113824243371782,0.072254053246437,0.0757847870819039,0.198659904422746,0.192875572806064,0.0168854532870703,0.0481901706768797,0.190134315579757,-0.0726622446122325,0.0529980062643711,-0.0792344204536809,0.0913464786666768,0.0341993050586714,-0.00807659627025484,0.00596372039645548,-0.0779837255655729,0.0162244282739408,0.0013117652749269,0.00936056350083449,-0.000418695228371797
"prop_hh_area",-0.134286923363542,0.0294585263253073,-0.0885692125980201,-0.0824369466261172,0.39970365116642,-0.229244148953606,-0.156556720543685,-0.244348946738018,-0.212429657764684,0.151630178085882,0.274007958331512,0.0668077330939578,0.0187922846568007,-0.191602407481166,-0.186898069961972,-0.0654861044333229,0.0463874794883546,0.333276440912936,0.118576734420855,-0.0844300727485838,-0.17308036963938,-0.0501715478105094,0.203250389884373,0.267111381142842,-0.0137560057598919,-0.151520536043051,0.329902231635558,0.0522729338838917,-0.149732902778352,-0.0176786288973552,-0.0846247654473265,-0.0110871988932056,-0.0314898348749129,0.00375159781338531,-0.0245438152902503,0.0096618517676923
"prop_wetlands",0.0943116540441802,0.0522452807922345,-0.105195300446182,-0.000919580764526383,-0.339162964293166,-0.373035818261767,-0.132589027910457,0.22281217232151,-0.175385124891252,0.217656040770303,0.187851657940782,-0.250503164375387,-0.339275143372637,-0.144925036961757,0.0993972353302121,0.272731444493616,-0.090274756032723,0.182810343393516,-0.14965725280178,-0.00351333954615881,0.303534354104898,-0.252473961340597,0.111880801203478,-0.0226273240724555,-0.0521217792649679,-0.0563237232010605,-0.100378638721331,0.0520042915569255,-0.00946033061468426,-0.0393662819579181,-0.014546952645734,0.00276101562450346,0.0728739112298919,0.011238827992479,0.0221750722859668,0.00290220644922541
"prop_montainous",0.113870631933917,-0.0224668305899982,0.296623078089353,0.0817652078659762,0.343412583363882,0.162740519572912,0.0754253125435271,-0.0403834345075771,-0.175693185587219,-0.0119540822141297,0.131373018452269,0.033518816563117,0.199565075388704,-0.0434490193024645,-0.177859340377541,-0.0128292056343765,-0.139579344469152,0.297771651308051,-0.329119096529242,-0.00626942214165221,0.284451365626488,0.00335112796955893,0.102982893041609,-0.0370816608029768,-0.0509103885243237,-0.0145097319397084,-0.480118337948844,-0.142870315564699,0.18621707774562,0.0753099121246504,-0.0855867675940904,-0.0752840082298184,0.00864822270255475,0.011680282882818,0.0225798800728982,0.00345666095311205
"altitudinal_range",0.208258155210809,0.165683360970986,0.221959676722204,0.021313441328962,0.00693826164124529,0.110747519174755,0.208208207040135,0.016558678918199,0.0651556717990274,0.0839467603209068,-0.0332463980348727,-0.0463892861729023,0.114393506229531,0.167887616506947,-0.146600935121714,0.148622602174866,0.0953473184945168,0.156748943289868,0.136901686021167,0.00995965830932105,0.155058620048827,-0.142488789641339,-0.133281078244921,0.0275128522041556,-0.240046066058393,0.188281848198909,0.156905177597376,0.370799091813424,-0.418291868098295,0.28167139527672,-0.0192167176639844,-0.110092039133647,0.284148484065211,0.0680465556659441,0.0373708179514674,-0.000520658452112679
"dist_to_coast",0.111442097912925,0.276878332572672,-0.210112253019174,0.188437517536717,-0.173847047252696,0.189287968741929,-0.048406616529785,0.00546131044895428,0.0479793112968349,-0.0125635962825389,-0.0106627240078865,0.105450847659758,0.144210563633306,-0.000780491309633815,0.0092453394456755,0.0367744190772354,0.0184892723070419,0.0588225930060563,0.0458844686157645,-0.0855059638051034,0.0879314236775809,-0.214360893548176,0.119367141238306,0.0851593181544907,-0.073850395370871,0.00318635957155305,0.15176566512703,0.104975699886174,0.288498415796774,0.295377930665666,-0.208506109139429,-0.187391857289321,-0.582104348925871,-0.0897226768862126,0.0538206058645653,-0.0113186589694332
