"terms","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35"
"land_area",-0.167624372739087,-0.0641584654362244,0.27996123137367,-0.257645666576402,0.0480411861952221,-0.201456831921653,0.105951504429159,-0.181168689164173,0.0722473602400723,-0.0431664749419075,0.112949589862365,0.285378060473554,-0.0632489470343973,-0.0480750982392373,-0.053263119363684,-0.042410345476396,0.256220897575049,-0.00704754437505777,-0.0234217229964603,-0.188197546667328,-0.196471536981984,0.211128985368564,0.110232693460101,0.163037489838824,0.0582997732692388,-0.0852416639428028,-0.14282145376282,-0.0855752247475546,-0.120992616208282,-0.16708397863437,0.208184262540311,0.187246653049698,-0.461168165381513,-0.153713561437278,-0.0680738883160456
"holiday_homes",0.278700530938411,0.0967001488236985,0.219531383704597,-0.0326254528204352,-0.0273368221688393,-0.165602069204946,0.0952913769875373,-0.0697163162943192,0.0600550478380818,0.0553136374975321,-0.029170862995151,0.150130136151382,-0.0323949091817951,0.239317337706146,-0.030083062635656,-0.0334498345377518,0.166453786757086,-0.149699585797033,-0.0793032265294906,0.0144712685963105,-0.0287074123649166,0.0303819748890448,0.184816916019048,0.0934765638374254,0.135416688629571,-0.0459367236681456,0.0419107031251611,0.10654681206619,-0.0806046654416674,-0.0357315599258995,-0.368272414500423,-0.0411719285985037,0.0365240715842334,0.664149239392866,0.0941606444252003
"future_hh_area",0.132664690154881,0.178671815455643,0.183264727520662,-0.0818651462678918,0.0318121475892103,-0.35339802987645,-0.0342084213388408,0.109140067797437,0.0166640238837352,0.164847273868693,-0.0666116490144801,0.107494952491194,-0.406684757705894,-0.178826750997519,0.106043163956245,0.309786054124116,0.00669868315108574,0.0442611321450315,0.490898314853225,-0.0668729778871001,0.182061852560175,-0.141529671349516,-0.283022408055381,0.0744866825525157,-0.0290856986810875,0.143409210988829,-0.0174399173206172,0.000352765838098791,0.0629150003340031,0.0234764502611244,0.0215686335315244,0.0663070600636964,0.0690991220598963,-0.00947616479746185,0.0306530182678023
"holiday_homes_1970",0.283160348604923,0.00850443094511968,0.187748080349916,-0.0878261004838005,-0.125137134156141,-0.0953408233601004,0.0429661231680484,0.109527068705928,0.00196355031725836,-0.0155186475795316,-0.0401640316158368,0.0424265222244977,-0.112658453746615,0.183628256703431,0.0381032960314937,-0.146240932905814,0.0658352358742234,-0.305006847057297,-0.20348010993506,-0.0376796856466649,0.213796754259856,0.172204520252682,0.115487801563945,-0.251318306051378,-0.426130952917821,0.179680860810718,0.165161876128794,-0.177228626183233,0.0814547197648142,0.240575170211028,0.349333491899086,-0.0830035205182424,0.00246029005750347,-0.0779456048401194,0.0340529818043667
"hh_dwelling_ratio",0.093353040825953,0.29027136056323,0.184564537359134,0.223329324167251,0.11448030595896,-0.0939357262293505,0.0693704388285776,0.00236848102106713,0.129586258056259,0.00585019060329686,-0.060668018930472,0.114602481080843,-0.0346957576666574,0.185795234435012,-0.0394208543022792,0.128984619322837,0.0827596549097359,-0.0108249211836897,-0.074799349911283,0.0679710785435079,0.14266556432318,-0.0616792508551484,0.272668749330698,0.016630893206544,0.155529610242714,-0.30159707086923,0.0865704788554516,0.0354589486321,-0.0722013003178396,-0.0184981847577743,-0.208729126268679,-0.266016950014057,0.113978320321176,-0.55628112337025,-0.163065833335553
"median_hh_price",0.194614843323969,-0.010486741356644,0.0734421211077183,0.16085912095067,0.0830704499775304,0.174317773814653,0.316605793209309,-0.390899371994474,-0.0203008897821297,0.138170341578945,-0.159223949443309,0.072127600036556,0.232551589711237,0.20781316098084,-0.169480093229817,-0.139413465649507,-0.123772195086192,0.289073452983208,0.375539044633533,-0.282784627679498,0.105734033620474,0.0924082255182224,0.00037308345223059,-0.147818030560806,-0.118062312639738,0.179338091368587,-0.179307235966327,0.0267566649592638,-0.0347962454447556,0.0313601794103084,-0.00737331229561146,-0.0080823828765506,-0.0126820988834577,-0.0436517315178781,0.0116466632242604
"prop_hh_area",0.290879929370214,0.130257269248997,-0.0464281474483711,0.0385143252414018,-0.0129035846919187,0.139144472846129,-0.0401656321988604,0.0368388168164507,0.0866327044998195,-0.126872962596935,-0.0239188647394008,-0.0150190541948287,0.0180067160440321,0.357452502522179,0.141794696968227,0.00954193932767587,-0.0785302374594935,-0.258085769552761,-0.0687542848029872,-0.0311938148246803,0.060007283001623,-0.112852566754158,-0.228975838606279,0.060762827663787,0.323541880268992,-0.0424788589603985,-0.287030691314159,0.289932925291631,-0.00256136838718413,-0.20041670463728,0.395246137680691,0.274730408194233,0.0228117556390869,-0.054999075769477,0.0176444568664226
"prop_wetlands",0.075224478223025,0.227197953573189,0.0810987713222212,-0.252729699262627,0.115982433087659,-0.0552586738177127,-0.168370290505508,-0.144529289033193,-0.105439055716575,-0.190842035722001,-0.090820984489752,-0.388548690593743,0.174635654681771,0.0756131464890324,0.368166995663114,0.268360322691482,-0.0391755311609812,0.204629510267342,-0.0927497599832314,-0.153464814544431,-0.0157242407443967,-0.0392490025181501,0.334753043967749,0.153037441944101,-0.0185939343183686,0.283946042053485,-0.0746165408054955,-0.12484979297762,0.138295130111079,-0.105340246597385,0.00661400659823989,-0.0885616088342963,-0.0522537642585292,0.0126925534523996,-0.006171507319836
"prop_montainous",-0.166441908480968,-0.253897068149095,0.00987717785624311,0.110060057503003,-0.228695400000423,0.174433753910663,0.0640592989032635,-0.0469554793988053,0.160509871996214,0.086132887187115,0.0035755742595716,0.226140626158343,0.0809637935586105,0.0959245604998017,0.21677101179265,0.172028900047179,-0.060130381750291,-0.180950096694463,0.1136043095126,-0.045984417094417,-0.0140386268263958,-0.131977852920743,0.0527617933985429,0.450679398070903,-0.200177987828641,0.176384265377428,0.181908935032727,0.27151953044843,0.0224999333364592,-0.0920959356590242,0.121949055455116,-0.383141693452787,-0.0650564018846511,0.00989877277026881,-0.0451303825587886
"altitudinal_range",-0.121586880056848,-0.205937910489067,0.212112723024966,0.132078106912038,-0.288265852286185,0.0737577041445695,0.0276077486341448,0.0448837250400265,0.0812543679793791,-0.0287849677941044,0.0694085587563419,-0.0955285297748772,-0.345021471069305,0.00812860748003793,-0.00790511978446849,0.292943769922876,-0.227039586058499,0.108079184056592,-0.243700306008386,-0.0484858312841552,0.0706750786973274,0.193866827966947,0.0515168978862169,-0.153996493785105,0.0261718272818022,0.0815760393665775,-0.528396300530901,0.0279847012151341,-0.214965547773845,0.0729813307020668,-0.0979806716489239,-0.132876880773202,0.0357852478150359,0.0368641708186086,-0.00471035491813169
