"terms","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35"
"land_area",0.196265683962951,0.220735638142468,-0.0835973546289722,0.198617482117564,-0.186059016630119,0.0222636363319568,-0.0974416120665012,0.084403606093393,-0.0534621936792281,0.220623191322602,-0.0173174652991924,-0.0961567608019833,0.178593031139859,-0.013651701086128,-0.0924960043656892,-0.0854302481448926,-0.0323690133073439,-0.0318405238076886,0.31909563751495,0.0655149921523026,0.164861292916061,-0.167184488351281,-0.157115078944593,-0.180992382219522,-0.25781466096153,0.0760891199783282,0.089567899305748,0.157338641872802,0.209861239114675,-0.0872119036951151,-0.142248507415365,-0.0519979661831546,-0.430172005055559,0.346203680048325,0.017182661506716
"holiday_homes",-0.0332466794696371,0.335515546199802,0.172138712917396,-0.033073216366533,0.0385371087974875,0.216364369454966,-0.271968356839184,0.126492593086289,-0.096249725224406,0.133831425459914,0.0025459494107092,0.0279417000233457,0.0389420203750958,-0.0230670027024025,-0.00211361588371649,-0.00268494786855827,0.0640052713169333,-0.129250687209342,0.252995100952884,0.159385318181124,-0.0412501804223273,-0.00292167861062754,0.143838529511422,0.231250470702842,-0.0408776183050814,-0.0215694974602992,0.0557067519790622,0.125227118135804,-0.296859158375569,0.0370981679627318,-0.229764774927516,-0.092232700090379,0.527930862438954,0.225323587012285,0.00422685754812562
"future_hh_area",0.127334024276263,0.220711068930182,0.159183701657663,-0.104057240612479,-0.12178368243675,0.12499379675602,-0.152411448117532,0.163958483875429,-0.110193094027303,0.0397073342522492,0.425477271662547,-0.118126227728052,-0.113100522791444,-0.0671262906452108,0.205942089982484,-0.172699830539979,0.435897504492772,0.168532152351102,-0.293198658045494,-0.292326012364525,-0.0149681057293176,-0.27359290911333,-0.141558669261564,-0.111013575382132,0.0967390757201091,-0.0516916714597597,-0.041853734469361,-0.0136959980640547,0.0728652864169817,-0.0162336328507645,0.041999764888819,0.0210535542659583,0.0186387611940022,-0.0262239804783354,-0.00673355003738416
"holiday_homes_1970",-0.145663593554239,0.30886650378417,0.137771034526605,0.0561746787158765,0.0452261507108477,0.0985465172781079,-0.190118181300721,0.113828366214642,-0.0374995405357654,0.0789067222054473,-0.0633755474717784,-0.049115939684657,0.0361833619871085,0.0727674643578792,0.136550614215336,0.0596548107452077,-0.0816401424156454,-0.293184070187675,0.070101190868076,0.152156551988555,0.0962313611183033,0.100464748623079,0.182125141686915,-0.0215597136898906,0.368759563137075,0.0309332661498229,-0.0388039188736787,-0.272063783666492,0.381967896324116,0.0114426316938724,0.401504411716371,0.238307711438196,-0.0835590342048178,0.000807172107363102,0.0191777669063896
"hh_dwelling_ratio",0.212341989933212,0.1407598069472,0.232890072752865,-0.20516049604087,0.116783024372367,0.134032661631062,-0.00535918072546422,0.176661651325034,-0.0712676439777853,-0.00943564235065587,0.0328130337427899,-0.043154287713987,0.0104209527745077,-0.0727399325264249,-0.0557122201326074,0.0770383010838545,0.0754743383316332,0.0724837271234372,0.0529229826390718,0.0700144348891169,-0.0443370469697471,0.207833256115382,0.259728996764536,0.288060502981802,-0.0823145548694445,0.108370826492661,0.126599116721486,-0.0877868487598972,-0.198810609386414,-0.01721909909556,-0.123050334125958,-0.0902455762366377,-0.530985833857789,-0.389095894312072,-0.0206778901216589
"median_hh_price",-0.119270288675929,0.177520487580524,0.110332803543897,-0.184907261728853,0.29976447420686,0.130056424466326,0.00970180180760975,-0.0778322603106593,0.0828727809407584,0.0610058739662212,-0.0862173957895979,0.156372026019054,0.158153911339869,-0.242892166989251,-0.702549086573922,-0.14139274113201,-0.0335671912596292,0.0445799405356138,-0.127423967074908,-0.163315044271577,0.194215521639205,-0.177453348872927,-0.063191539906127,-0.0953120150768362,0.0682107642944061,-0.0110554242712086,-0.10137306892395,-0.0561223351436243,-0.0213180852009896,0.01158274705441,0.0807158499532413,0.0346240874760549,-0.0020452085669793,0.0101177228435137,0.000306421616538832
"prop_hh_area",-0.134852155175659,0.0227396501772784,0.125592377641583,-0.0149928785663836,0.379393919808359,0.319083745846099,-0.0570483202539497,0.264606814627184,-0.193515097232928,-0.145515070996576,-0.283533491253077,-0.0473148523193596,-0.0236912626335432,0.190496781621158,0.17516575892391,-0.0581378356734412,-0.141729044464696,0.207541208167568,-0.150566970380633,0.0926972132677757,-0.117785939796755,0.116920115092007,-0.202773786204402,-0.407873254261209,-0.17003733373255,0.158688072380812,-0.0207032559272775,0.204790153197917,0.0298981858408701,0.0779489695463613,-0.0119241128452654,-0.0141502508806174,0.000143400516058045,-0.0283253959798089,-0.00926596879660637
"prop_wetlands",0.0919789111605399,0.0415314027387114,0.115371137296613,-0.0355168729117481,-0.392204312646758,0.344261339579336,-0.0251088178651074,-0.220178454287296,-0.175867393252453,-0.230555317015231,-0.174913213869112,0.240012253376068,-0.340881870844702,0.143935466142913,-0.108155475246644,0.280185887523414,0.046603095851502,0.236766817851815,0.0566167992024772,0.0457317137413117,0.37593926393616,0.0767230593202837,-0.113182043345941,0.0346442261340135,0.0674286228286192,-0.121805465860269,-0.0552555733703654,0.0144568078125538,0.0367925470106814,0.0170081507797542,-0.0184444782613458,0.0648758833252103,-0.014167463879093,0.0242254607939652,-0.00306186421788192
"prop_montainous",0.119493800007451,0.0196334570162108,-0.292217397922714,0.116007493802454,0.37593441522084,-0.12035647778963,-0.0799418973752734,0.0547044037141341,-0.165976255241512,0.0161495387030506,-0.140420748266619,-0.0154846754186927,0.169797946384403,0.0432312916914796,0.17483765601508,-0.00983670557467675,0.0875243623720279,0.425297642828982,0.173080624559787,0.0439891012910642,0.233378232400143,-0.143075830525955,-0.110987220636596,0.160445998253617,0.144906940528381,-0.352924025433189,0.097264357881967,-0.293298765779644,-0.149646917380718,0.0954316711266637,0.0686719406323925,0.0262434836226008,-0.0135705360146403,0.0242864971774574,-0.00372116360868987
"altitudinal_range",0.2089658529678,0.199229391932548,-0.192557259899393,0.0171670431833386,0.0181058870009685,-0.195029509270263,-0.136902776319021,-0.00882510343683057,0.0721028831399721,-0.0777256357601804,0.0305141038349055,0.0525475712891674,0.103157048247012,-0.167891693970997,0.147953561561262,0.148046560267013,-0.132993492334139,0.081218855583985,-0.176694563117141,0.0464227361271337,0.19293278877203,0.0520601745389206,0.132931921119568,-0.096856931123174,0.231567894115936,0.24039947972132,-0.358210592016396,0.382078938859069,-0.321835937693386,-0.0415696332697073,-0.0309774211084954,0.318212836396703,-0.0720440922359742,0.037917020530737,0.000575176791682357
